epoch,step,learning_rate,epoch_time_seconds,train_loss,train_perplexity,val_bleu_1,val_bleu_2,val_bleu_3,val_bleu_4,val_meteor,val_rouge_l,val_loss
1,182,0.0001,233.18593978881836,4.193735346689329,80.72075335534065,0.0945353675450763,0.06396394318526491,0.04710636242862158,0.031653083449163684,0.2667288353097562,0.14188699928344414,3.777430658755095
2,364,0.0001,215.6634979248047,3.6720875278934018,40.54088695756682,0.09553398058252424,0.06577687789576833,0.04848872904537757,0.03328741351732749,0.2822679591380438,0.149368422728043,3.584030431249867
3,546,0.0001,216.13948392868042,3.4435202040515103,32.208503901303466,0.09728155339805823,0.06616801986465715,0.048210903953882944,0.03308050492517061,0.285450592325191,0.14765528192584457,3.418257257212763
4,728,0.0001,215.89125871658325,3.2241231622276727,26.030942979749742,0.10080443828016643,0.06915302170085265,0.049452421044043404,0.03355268424446024,0.2676675528005977,0.1502420528454062,3.294619995614757
5,910,0.0001,216.32995462417603,3.0697944439374485,22.143636593451866,0.10171983356449378,0.06934184352631349,0.04891976922874266,0.0329749911394266,0.2605131779855291,0.15016386641874732,3.2048037881436557
6,1092,0.0001,217.24834370613098,2.930157874966716,19.16097427724482,0.10474341192787796,0.07229759357754618,0.052016192136204634,0.03568423430322535,0.2620403921161267,0.15677458791805615,3.1363072395324707
7,1274,0.0001,216.29388761520386,2.805689254959861,16.933504487131977,0.10710124826629681,0.07423838804071935,0.05386017713987756,0.03708091551242548,0.2672816108797785,0.15885294955394513,3.0856693827587627
8,1456,0.0001,216.0802993774414,2.7049088189890096,15.246203684544826,0.10169209431345355,0.06982880765424868,0.049873414654233256,0.03404751598698836,0.2589260746071713,0.15087822352512784,3.0656672456990117
9,1638,0.0001,217.40651988983154,2.5996995928523305,13.722069452097127,0.10579750346740638,0.07276343078450265,0.052095133944464994,0.035870777268912094,0.25076771644341056,0.15886745163992133,3.041002024774966
10,1820,0.0001,225.12094521522522,2.508461580826686,12.553752964669531,0.10490984743411928,0.07140483220421985,0.05063427695785721,0.0342458935958623,0.27172865722434275,0.1545952008229917,3.0000149685403574
11,2002,0.0001,219.84674167633057,2.413225403526327,11.394983913872268,0.10404993065187242,0.07138028485335408,0.051197206787058386,0.03481604948262687,0.27722787118898407,0.15795811458762662,2.990516123564347
12,2184,0.0001,219.42420983314514,2.3414625342075643,10.527954020342984,0.10527045769764216,0.07233522538598616,0.0514427993753768,0.034812680953163526,0.26804200359826275,0.1569653716936615,2.9870362074478813
13,2366,0.0001,219.54544925689697,2.2637165824135583,9.734876438811584,0.10679611650485438,0.07283675990552851,0.05155329652136157,0.034891087845165744,0.2681231715736654,0.15594727607956688,2.9743258020152217
14,2548,0.0001,220.08894777297974,2.188015667946784,9.029743042620984,0.10496532593619974,0.07196245162479217,0.05130875594345781,0.034590926442701724,0.2738703304876565,0.15425536547447607,2.9761770600857944
15,2730,0.0001,220.31504487991333,2.1205222449459873,8.416342908209497,0.10918169209431344,0.07489409076094626,0.053447148131503135,0.036253646216396915,0.2670004967585159,0.15922361109500596,2.9818095538927163
16,2912,0.0001,221.02905321121216,2.0501945981612573,7.852961073864948,0.10754507628294037,0.07389938309413066,0.052896324464564215,0.036034453091406536,0.2683479446073311,0.15742762363181925,2.981138664743175
17,3094,0.0001,220.90188360214233,1.9952597356104589,7.414607802590171,0.1074618585298197,0.07409691120533934,0.0536536739250734,0.03693182650509238,0.2697028022335148,0.1579875390657588,2.997284816659015
18,3276,5e-05,221.14496541023254,1.8999968321768792,6.737907152909499,0.10998613037447989,0.07502439500923504,0.05336471857736176,0.03616799110646573,0.262027368635405,0.16046348999226653,2.9754433217255967
19,3458,5e-05,221.16043162345886,1.8574734526676135,6.45571214550144,0.10893203883495146,0.07519895567997655,0.05377464347026087,0.03650842765088902,0.25950356793932394,0.15931438872312031,2.982555410136347
20,3640,5e-05,221.2811577320099,1.8333548785565974,6.30538116968595,0.10920943134535366,0.0749036041418371,0.05334911477688843,0.03615997908664763,0.2628468771242389,0.16137967324222788,2.9912595748901367
21,3822,5e-05,220.9064724445343,1.7897166531164568,6.028313243782128,0.10976421636615812,0.0751969822620023,0.05356918836447979,0.03620751114801799,0.2686198108013428,0.15961095977202944,2.9898228127023447
22,4004,2.5e-05,221.20188069343567,1.7454665512829037,5.761915555367103,0.10973647711511789,0.07508412935815675,0.05328951630695711,0.035822233580730785,0.2659690025072408,0.160193213034872,2.9937781147334888
23,4186,2.5e-05,220.84011602401733,1.7324869593421182,5.688736234392438,0.10998613037447989,0.07595231203393824,0.05457701699134913,0.03713666772740931,0.27157927863052217,0.160345788068215,2.999528304390285
