epoch,step,learning_rate,epoch_time_seconds,train_loss,train_perplexity,val_bleu_1,val_bleu_2,val_bleu_3,val_bleu_4,val_meteor,val_rouge_l,val_loss
1,182,0.0001,234.50444269180298,4.320417005937178,95.89519592955872,0.09323162274618585,0.06483713814732212,0.04825790834795866,0.03259284955878181,0.2416364373997607,0.1434434049965173,3.8843973615895147
2,364,0.0001,217.36852717399597,3.7720893752443923,44.789133627336106,0.09334257975034674,0.06424136232183747,0.04716360849807414,0.03232781098602729,0.2798356178130477,0.1465263991544742,3.690011843391087
3,546,0.0001,218.59081149101257,3.524061239682711,35.20773448524894,0.09950069348127602,0.06854020587437507,0.049425288269589654,0.0338365102120208,0.2693613193794796,0.15239953334681683,3.534728485604991
4,728,0.0001,216.97469568252563,3.330087457384382,28.84729063641894,0.10135922330097087,0.06971442787614673,0.049634753270307766,0.033987127878919644,0.25729928847023914,0.15235760205597593,3.4007847620093306
5,910,0.0001,216.6505732536316,3.1681232151094374,24.438130415402927,0.10194174757281552,0.07048990712661891,0.049600939389328975,0.033715113877434,0.2559694014528379,0.15396948628730825,3.3081979751586914
6,1092,0.0001,217.80896615982056,3.020814742360796,21.096326340685835,0.10177531206657418,0.0700221315214565,0.04971716773165575,0.03381783700077137,0.2451195616946683,0.15273724033193392,3.232156919396442
7,1274,0.0001,217.2970094680786,2.898884485056112,18.704255271743943,0.10252427184466019,0.07183127127717953,0.052232098170153125,0.03630921310955574,0.2666799286640997,0.15701278091196896,3.1903843361398447
8,1456,0.0001,217.518208026886,2.782990886614873,16.56080565085778,0.10546463245492371,0.07405294379376477,0.05381083343861904,0.037321115523599825,0.2512410199269826,0.15888739809165947,3.166898996933647
9,1638,0.0001,218.28060150146484,2.685585171311766,14.95882618034279,0.1069625520110957,0.07445508741678132,0.05366474571984508,0.036875327848288994,0.25717133666693526,0.1594483238998363,3.138241674589074
10,1820,0.0001,217.91659903526306,2.5907227993011475,13.638566467788193,0.10332871012482665,0.07160375364452061,0.05130293671323206,0.03516730286220615,0.2596700070366311,0.15609704322445705,3.1094866939212964
11,2002,0.0001,217.23828315734863,2.499599332337851,12.391406994599562,0.10527045769764216,0.07309332663205007,0.05273604800490209,0.036162824075017225,0.261240157710969,0.15860980829526047,3.0918150570081626
12,2184,0.0001,216.62393403053284,2.4165375383345635,11.384926751419739,0.10568654646324548,0.07336007431483506,0.053478008476613825,0.037365741255008675,0.25084344428962574,0.15870840342290526,3.0761543978815493
13,2366,0.0001,217.826313495636,2.328955290081737,10.432084345555568,0.10610263522884882,0.073094615662198,0.05261622333207747,0.036409931927073175,0.26295321680337397,0.15720606264661227,3.0762242441592007
14,2548,0.0001,217.12310528755188,2.2513737986375997,9.657182054205256,0.10732316227461862,0.07324473424405759,0.052137746346765025,0.03542922651327114,0.2577989783037998,0.15945151847338085,3.085875531901484
15,2730,0.0001,216.663081407547,2.185485683954679,8.999085800988334,0.10707350901525656,0.07340763352522113,0.05221424871535359,0.035575727410747666,0.2557473720807833,0.15945177401210342,3.0718894523123037
16,2912,0.0001,217.91439127922058,2.1144551798537536,8.36246049273145,0.10732316227461862,0.07406958833795896,0.05342116939530812,0.036810519109673666,0.2640715917976565,0.16046578849894585,3.082149775131889
17,3094,0.0001,219.37456893920898,2.050922245114714,7.852994379106459,0.10707350901525656,0.07236810732933198,0.05051218822662188,0.033534469950509155,0.2581548825743398,0.15608843758603771,3.078688942867777
18,3276,0.0001,218.34884977340698,1.981296813750005,7.328193284653046,0.1062135922330097,0.07313282508229954,0.05243232135333964,0.035984075085217046,0.2561345051614775,0.1591929192359195,3.0964021579079004
19,3458,0.0001,218.50482368469238,1.9262750384571787,6.924483508854122,0.10707350901525656,0.07361377724340638,0.05214525231358262,0.03532509444478004,0.2574654483259213,0.15903150347142242,3.087577726529992
20,3640,5e-05,217.51500606536865,1.8328337237075134,6.293342341433514,0.10829403606102636,0.07386634306728429,0.05234644672966937,0.035362834298522904,0.25991431272736953,0.16053602833294084,3.08622872311136
21,3822,5e-05,216.94714665412903,1.7819022352878864,5.9828786967874885,0.10840499306518725,0.07495543739234266,0.053414549833409715,0.03640863733512502,0.2632628170537158,0.16117382624409787,3.0940048694610596
22,4004,5e-05,215.75714492797852,1.7603243543551519,5.853469298436091,0.10984743411927879,0.0752668034951606,0.053622547648407674,0.036473158922084435,0.2581741815651545,0.1626447788737891,3.08635253491609
23,4186,5e-05,216.28496742248535,1.72617786860728,5.6539520745749,0.10990291262135925,0.07516174437804735,0.05363459323688184,0.03673418470134768,0.26648120729867114,0.1620563279500852,3.0963261749433433
24,4368,2.5e-05,215.63983988761902,1.6828820803663234,5.412942777623187,0.10779472954230238,0.07340547289760221,0.051566204404681064,0.03478841007898021,0.2603665342742581,0.15952501709664338,3.1011044253473696
25,4550,2.5e-05,215.9579885005951,1.663290452171158,5.310334053668347,0.10879334257975035,0.07463710249147254,0.05301801073152948,0.03577209984822037,0.26247037439497556,0.1612968047205445,3.096034640851228
