epoch,step,learning_rate,epoch_time_seconds,train_loss,train_perplexity,val_bleu_1,val_bleu_2,val_bleu_3,val_bleu_4,val_meteor,val_rouge_l,val_loss
1,93,0.0001,122.60796880722046,4.286155118737169,89.98258806044056,0.08967391304347827,0.0578090387235599,0.040972022750653626,0.027260921575951252,0.2837247146359296,0.134282259456104,3.7986000776290894
2,186,0.0001,112.60314202308655,3.747362736732729,43.36306623233262,0.09119565217391304,0.06332886595012145,0.04696978150232787,0.031660659768165074,0.26045454315908506,0.14407034952066933,3.600598176320394
3,279,0.0001,112.50815057754517,3.551546053219867,35.876333913495465,0.09173913043478263,0.06331672875408245,0.046474365189155396,0.03182564729005427,0.2837965992069854,0.14823655503559943,3.491817514101664
4,372,0.0001,112.94231677055359,3.42245061935917,31.471593497901836,0.09168478260869567,0.06325779458279701,0.04594594650447151,0.031345842199267566,0.28436844405163947,0.1478750504125413,3.3989862203598022
5,465,0.0001,112.80196022987366,3.2949639443428285,27.71256193550684,0.0926086956521739,0.0637773580998441,0.04603777527362585,0.03163953254405186,0.28712355650839405,0.14948483427009082,3.334989349047343
6,558,0.0001,112.59906458854675,3.178827490857852,24.596363077881517,0.09336956521739129,0.06432119561239144,0.046882629953274635,0.03203722539988084,0.27930634175444724,0.14704842703017315,3.256699820359548
7,651,0.0001,112.894526720047,3.0378367606029717,21.73443010032818,0.09429347826086956,0.06512223629812129,0.04814516573008826,0.033102056510088254,0.2892970563576583,0.14719017966973838,3.2018118302027383
8,744,0.0001,113.24744606018066,2.9728448596051944,19.89179708624399,0.10021739130434783,0.06993441294058592,0.05131414901555506,0.03511683759821294,0.28473274777436436,0.15522814468809223,3.1436676581700644
9,837,0.0001,112.51541042327881,2.8899405412776495,18.45349198002969,0.09826086956521739,0.06725233976458797,0.04867604631581103,0.032746954965265314,0.28854912514090186,0.15016455487820818,3.108858505884806
10,930,0.0001,113.14238572120667,2.7803792261308238,16.412498689466908,0.09804347826086958,0.06806239124142434,0.04976113435691405,0.03377277450886937,0.2864420834252924,0.15277690713938066,3.0606619318326316
11,1023,0.0001,113.01954555511475,2.70532650075933,15.28533935546875,0.10000000000000002,0.06800816799422545,0.04875922252892443,0.03274587942928442,0.2761660691982288,0.1546084926843427,3.0474340518315635
12,1116,0.0001,112.72208642959595,2.6244781991486907,14.02980972105457,0.09896739130434784,0.06757495655981152,0.04871212516348716,0.03285168024140996,0.2771362718357457,0.15133909908542675,3.016144076983134
13,1209,0.0001,113.02799558639526,2.551981351708853,13.073694998218167,0.09793478260869566,0.06762426817178756,0.04916532798401376,0.03354933792378136,0.28237222391896427,0.1512350258762694,3.0015867749849954
14,1302,0.0001,113.09600973129272,2.492066239797941,12.287294464726601,0.09755434782608696,0.06705047788080133,0.048462264598364085,0.033144106112647696,0.28147270771794686,0.15202331970133412,2.986635208129883
15,1395,0.0001,113.04072737693787,2.421896142344321,11.417070819485572,0.10059782608695651,0.0694271311399801,0.04889767689424952,0.032728669618979626,0.27706716359224715,0.15681948322778744,2.9844643473625183
16,1488,0.0001,113.1798312664032,2.351318343993156,10.612442390893095,0.10358695652173913,0.07085757801409155,0.05062446772908742,0.03438555387392845,0.27821320017842693,0.15998022060038802,2.9826772014300027
17,1581,0.0001,112.61572790145874,2.3067141040678947,10.176631553198701,0.10369565217391306,0.07117808157779347,0.05125309094877078,0.03500252649169436,0.2827038934760899,0.16001814254307875,2.9613826274871826
